koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr
CONFIRMED,CANDIDATE,1,9.48803557,2.78E-05,-2.78E-05,170.53875,2.16E-03,-2.16E-03,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,6.16E+02,1.95E+01,-1.95E+01,2.26,2.60E-01,-1.50E-01,93.59,29.45,-16.65,35.8
CONFIRMED,CANDIDATE,0.969,54.4183827,2.48E-04,-2.48E-04,162.51384,3.52E-03,-3.52E-03,0.586,0.059,-0.443,4.507,0.116,-0.116,8.75E+02,3.55E+01,-3.55E+01,2.83,3.20E-01,-1.90E-01,9.11,2.87,-1.62,25.8
CANDIDATE,CANDIDATE,0,19.89913995,1.49E-05,-1.49E-05,175.850252,5.81E-04,-5.81E-04,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,1.08E+04,1.71E+02,-1.71E+02,14.6,3.92E+00,-1.31E+00,39.3,31.04,-10.49,76.3
FALSE POSITIVE,FALSE POSITIVE,0,1.736952453,2.63E-07,-2.63E-07,170.307565,1.15E-04,-1.15E-04,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8.08E+03,1.28E+01,-1.28E+01,33.46,8.50E+00,-2.83E+00,891.96,668.95,-230.35,505.6
CONFIRMED,CANDIDATE,1,2.525591777,3.76E-06,-3.76E-06,171.59555,1.13E-03,-1.13E-03,0.701,0.235,-0.478,1.6545,0.042,-0.042,6.03E+02,1.69E+01,-1.69E+01,2.75,8.80E-01,-3.50E-01,926.16,874.33,-314.24,40.9
CONFIRMED,CANDIDATE,1,11.09432054,2.04E-05,-2.04E-05,171.20116,1.41E-03,-1.41E-03,0.538,0.03,-0.428,4.5945,0.061,-0.061,1.52E+03,2.42E+01,-2.42E+01,3.9,1.27E+00,-4.20E-01,114.81,112.85,-36.7,66.5
CONFIRMED,CANDIDATE,1,4.13443512,1.05E-05,-1.05E-05,172.97937,1.90E-03,-1.90E-03,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,6.86E+02,1.87E+01,-1.87E+01,2.77,9.00E-01,-3.00E-01,427.65,420.33,-136.7,40.2
CONFIRMED,CANDIDATE,0.992,2.56658897,1.78E-05,-1.78E-05,179.55437,4.61E-03,-4.61E-03,0.755,0.212,-0.523,2.429,0.165,-0.165,2.27E+02,1.68E+01,-1.68E+01,1.59,5.20E-01,-1.70E-01,807.74,793.91,-258.2,15
FALSE POSITIVE,FALSE POSITIVE,0,7.36178958,2.13E-05,-2.13E-05,132.25053,2.53E-03,-2.53E-03,1.169,7.133,-0.044,5.022,0.136,-0.136,2.34E+02,5.80E+00,-5.80E+00,39.21,6.45E+00,-9.67E+00,767.22,349.28,-365.49,47.7
CONFIRMED,CANDIDATE,1,16.06864674,1.09E-05,-1.09E-05,173.621937,5.17E-04,-5.17E-04,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4.91E+03,3.33E+01,-3.33E+01,5.76,2.20E-01,-4.90E-01,30.75,4.46,-6.66,161.9
CONFIRMED,CANDIDATE,0.811,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,1.42E+04,4.20E+00,-4.20E+00,13.04,5.10E-01,-5.10E-01,761.46,106.21,-95.76,4304.3
CONFIRMED,CANDIDATE,1,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6.67E+03,1.70E+00,-1.70E+00,16.1,8.10E-01,-9.10E-01,4148.92,651.59,-654.46,5945.9
CONFIRMED,CANDIDATE,0.998,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9.15E+03,6.60E+00,-6.60E+00,14.59,1.11E+00,-1.11E+00,1264.67,307.23,-276.48,1741.5
CONFIRMED,CANDIDATE,1,3.709214104,6.54E-06,-6.54E-06,133.98318,1.43E-03,-1.43E-03,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,1.31E+02,3.00E+00,-3.00E+00,1.16,1.70E-01,-1.20E-01,500.46,197.96,-130.54,50.6
FALSE POSITIVE,FALSE POSITIVE,0,11.52144606,1.98E-06,-1.98E-06,170.839688,1.31E-04,-1.31E-04,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,1.80E+04,3.19E+01,-3.19E+01,150.51,3.98E+01,-1.33E+01,75.88,58.89,-19.99,622.1
FALSE POSITIVE,FALSE POSITIVE,0,19.40393776,2.07E-05,-2.07E-05,172.484253,8.42E-04,-8.42E-04,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8.92E+03,5.33E+01,-5.33E+01,7.18,7.60E-01,-6.80E-01,17.69,6.66,-4.88,214.7
FALSE POSITIVE,FALSE POSITIVE,0,19.22138894,1.12E-06,-1.12E-06,184.5521637,4.50E-05,-4.50E-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,7.43E+04,2.19E+01,-2.19E+01,49.29,1.60E+01,-5.00E+00,55.97,54.55,-16.4,2317
FALSE POSITIVE,FALSE POSITIVE,0,16.46983774,1.36E-05,-1.36E-05,180.881761,6.23E-04,-6.23E-04,0.292,0.118,-0.101,9.4378,0.06,-0.06,1.05E+04,3.99E+01,-3.99E+01,7.94,8.90E-01,-8.90E-01,29.61,12.01,-8.91,303.4
CONFIRMED,CANDIDATE,1,9.27358173,1.04E-05,-1.04E-05,173.258155,8.77E-04,-8.77E-04,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1.29E+03,1.68E+01,-1.68E+01,2.47,2.00E-01,-2.40E-01,41.85,12.49,-11.7,87.2
CONFIRMED,CANDIDATE,1,6.02930329,5.51E-06,-5.51E-06,171.602959,7.13E-04,-7.13E-04,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1.91E+03,3.44E+01,-3.44E+01,2.85,2.60E-01,-1.50E-01,50.04,16.4,-9.88,65.4
FALSE POSITIVE,FALSE POSITIVE,0,2.696370652,7.53E-06,-7.53E-06,170.73769,2.34E-03,-2.34E-03,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,3.98E+02,9.50E+00,-9.50E+00,1.58,1.30E-01,-1.60E-01,305.34,96.64,-86.33,48.2
