koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr
CONFIRMED,CANDIDATE,1,9.48803557,170.53875,0.146,2.9575,6.16E+02,2.26,93.59,35.8
CONFIRMED,CANDIDATE,0.969,54.4183827,162.51384,0.586,4.507,8.75E+02,2.83,9.11,25.8
CANDIDATE,CANDIDATE,0,19.89913995,175.850252,0.969,1.7822,1.08E+04,14.6,39.3,76.3
FALSE POSITIVE,FALSE POSITIVE,0,1.736952453,170.307565,1.276,2.40641,8.08E+03,33.46,891.96,505.6
CONFIRMED,CANDIDATE,1,2.525591777,171.59555,0.701,1.6545,6.03E+02,2.75,926.16,40.9
CONFIRMED,CANDIDATE,1,11.09432054,171.20116,0.538,4.5945,1.52E+03,3.9,114.81,66.5
CONFIRMED,CANDIDATE,1,4.13443512,172.97937,0.762,3.1402,6.86E+02,2.77,427.65,40.2
CONFIRMED,CANDIDATE,0.992,2.56658897,179.55437,0.755,2.429,2.27E+02,1.59,807.74,15
FALSE POSITIVE,FALSE POSITIVE,0,7.36178958,132.25053,1.169,5.022,2.34E+02,39.21,767.22,47.7
CONFIRMED,CANDIDATE,1,16.06864674,173.621937,0.052,3.5347,4.91E+03,5.76,30.75,161.9
CONFIRMED,CANDIDATE,0.811,2.470613377,122.763305,0.818,1.74319,1.42E+04,13.04,761.46,4304.3
CONFIRMED,CANDIDATE,1,2.204735417,121.3585417,0.224,3.88864,6.67E+03,16.1,4148.92,5945.9
CONFIRMED,CANDIDATE,0.998,3.522498429,121.1194228,0.631,3.19843,9.15E+03,14.59,1264.67,1741.5
CONFIRMED,CANDIDATE,1,3.709214104,133.98318,0.051,2.6302,1.31E+02,1.16,500.46,50.6
FALSE POSITIVE,FALSE POSITIVE,0,11.52144606,170.839688,2.483,3.6399,1.80E+04,150.51,75.88,622.1
FALSE POSITIVE,FALSE POSITIVE,0,19.40393776,172.484253,0.804,12.2155,8.92E+03,7.18,17.69,214.7
FALSE POSITIVE,FALSE POSITIVE,0,19.22138894,184.5521637,1.065,4.79843,7.43E+04,49.29,55.97,2317
FALSE POSITIVE,FALSE POSITIVE,0,16.46983774,180.881761,0.292,9.4378,1.05E+04,7.94,29.61,303.4
CONFIRMED,CANDIDATE,1,9.27358173,173.258155,0.387,3.2875,1.29E+03,2.47,41.85,87.2
CONFIRMED,CANDIDATE,1,6.02930329,171.602959,0.258,1.5821,1.91E+03,2.85,50.04,65.4
FALSE POSITIVE,FALSE POSITIVE,0,2.696370652,170.73769,0.044,3.6129,3.98E+02,1.58,305.34,48.2
CONFIRMED,CANDIDATE,1,5.349553819,171.80694,0.092,3.0278,8.31E+02,2.55,168.99,60.6
CONFIRMED,CANDIDATE,0.98,3.94105221,136.08662,0.226,2.5984,3.63E+02,1.7,253.15,28.9
CONFIRMED,CANDIDATE,0.971,8.10904807,132.8031,0.025,3.596,2.17E+02,1.3,97.03,14.1
FALSE POSITIVE,FALSE POSITIVE,,386.6030528,166.342079,0.9765,6.8057,2.49E+04,41.5,1.84,994
CONFIRMED,CANDIDATE,1,21.67699193,171.53594,0.896,3.4555,8.57E+02,2.95,18.64,34.3
CONFIRMED,CANDIDATE,1,4.99677968,171.74208,0.71,2.1717,9.35E+02,2.78,166.95,28.2
CONFIRMED,CANDIDATE,1,4.280963604,171.89659,0.424,2.875,7.51E+02,2.3,247.87,61.8
FALSE POSITIVE,FALSE POSITIVE,0,1.50635409,170.998064,0.86,1.5155,2.21E+03,4.53,1054.12,181.1
FALSE POSITIVE,FALSE POSITIVE,0,670.645531,209.04355,0.701,53.412,1.81E+04,14.14,0.35,642.7
FALSE POSITIVE,FALSE POSITIVE,0,61.2563628,173.83826,1.248,7.633,5.12E+03,39.87,15.43,85.3
CONFIRMED,CANDIDATE,1,38.3775486,172.82048,0.468,5.588,7.24E+02,2.82,18.53,34.7
CONFIRMED,CANDIDATE,0.992,41.19725502,165.00404,0.045,4.6297,2.21E+03,3.86,8.76,51.2
CONFIRMED,CANDIDATE,1,6.252962249,171.30126,0.105,2.5819,1.04E+03,2.65,108.3,47.1
CONFIRMED,CANDIDATE,1,16.01308419,176.3608,0.799,3.2554,1.12E+03,3.1,29.31,33.2
CONFIRMED,CANDIDATE,1,32.62876672,194.1019,0.021,4.7971,1.80E+03,3.36,15.55,80
CONFIRMED,CANDIDATE,0.978,91.7732862,193.8378,0.606,6.473,6.52E+02,2.12,3.92,19.1
CANDIDATE,CANDIDATE,1,4.959319244,172.2585292,0.831,2.22739,9.80E+03,12.21,349.4,696.5
FALSE POSITIVE,FALSE POSITIVE,0,2.701287801,170.69579,1.016,3.3827,8.60E+02,6.54,527.81,48.3
CONFIRMED,CANDIDATE,1,4.49876511,171.34905,0.312,3.7362,4.60E+02,2.1,389.62,29.5
FALSE POSITIVE,FALSE POSITIVE,0,19.65120951,179.401981,0.723,5.2514,1.18E+04,12.42,67.03,513.4
CONFIRMED,CANDIDATE,1,5.412203927,133.143089,0.787,2.9472,6.02E+02,2.94,337.68,166.7
CONFIRMED,CANDIDATE,0.998,41.43958662,208.93203,0.355,10.5989,2.79E+03,5.5,16.72,141.1
CONFIRMED,CANDIDATE,1,8.35389523,171.63257,0.023,2.2514,1.04E+03,2.52,91.9,43.4
CONFIRMED,CANDIDATE,1,4.125543472,169.752585,0.597,3.1744,1.49E+03,4.43,565.35,128.6
CONFIRMED,CANDIDATE,1,2.816504904,170.9676846,0.105,2.50587,1.68E+04,12.21,521.13,1406.8
FALSE POSITIVE,FALSE POSITIVE,0,33.93373447,186.67608,0.812,14.561,8.50E+03,7.34,8.11,236.1
CONFIRMED,CANDIDATE,1,3.689920099,170.36571,0.151,2.6557,4.27E+02,1.89,408.99,35.6
CONFIRMED,CANDIDATE,1,4.431238488,171.015,0.405,3.15,1.01E+03,3.25,351.23,71.1
CONFIRMED,CANDIDATE,1,11.37936986,133.84992,0.911,2.6255,1.02E+03,3.95,99.68,37.9
CONFIRMED,CANDIDATE,1,26.39432897,176.05459,0.602,3.573,1.51E+03,3.07,13.49,48.2
CONFIRMED,CANDIDATE,1,13.57078281,136.279194,0.866,3.3539,5.12E+02,2.64,89.61,88.4
CONFIRMED,CANDIDATE,1,7.12594387,139.00492,0.898,3.0014,1.92E+02,1.79,233.31,47.1
FALSE POSITIVE,FALSE POSITIVE,0.014,7.442652004,169.9717797,0.137,2.3078,2.44E+04,15.03,206.78,835.6
CONFIRMED,CANDIDATE,1,16.38489988,172.72782,0.001,3.0249,1.13E+03,2,8.35,28.9
CONFIRMED,CANDIDATE,1,7.8774163,176.3759,0.041,2.0805,1.31E+03,2.16,22.18,38.7
CONFIRMED,CANDIDATE,1,36.4454001,151.60125,0.028,4.007,1.12E+03,1.99,2.88,21.7
CONFIRMED,CANDIDATE,1,3.728732147,171.793255,0.558,2.683,5.23E+03,6.02,258.34,345.2
CANDIDATE,CANDIDATE,0.999,40.4195037,173.56469,0.911,3.362,6.26E+03,7.51,11.29,36.9
CONFIRMED,CANDIDATE,1,2.243380573,170.679233,0.915,1.1196,8.22E+02,1.99,107.6,38.9
FALSE POSITIVE,FALSE POSITIVE,0,10.40599802,177.197466,0.324,6.5036,1.45E+04,11.23,113.94,745.2
CONFIRMED,CANDIDATE,1,2.337437946,171.761982,0.28,1.9982,9.71E+02,2.34,311.16,82.4
CANDIDATE,CANDIDATE,0.993,7.2406612,137.75545,1.198,0.558,5.56E+02,19.45,68.63,13.7
CANDIDATE,CANDIDATE,0.871,3.43591631,132.6624,0.624,3.133,2.32E+01,0.55,617.61,8.7
CONFIRMED,CANDIDATE,1,11.59822233,180.395376,0.679,2.5237,2.80E+03,2.65,5.82,71
CONFIRMED,CANDIDATE,1,6.575315881,173.634044,0.39,4.3084,2.79E+03,5.31,251.38,221.1
CONFIRMED,CANDIDATE,1,7.275040844,169.994217,0.547,7.5377,3.00E+03,4.86,113.64,312.1
CONFIRMED,CANDIDATE,1,19.27153892,186.77093,0.031,2.7594,1.22E+03,1.93,5.66,37.1
CONFIRMED,CANDIDATE,1,10.06524317,136.28906,0.628,1.369,1.05E+03,1.91,13.43,30.3
CONFIRMED,CANDIDATE,1,12.3935651,178.74725,0.883,3.8896,9.17E+02,2.66,49.68,35.8
CONFIRMED,CANDIDATE,0.998,43.84439721,151.93538,0.852,6.802,6.15E+02,2.87,18.77,83.7
FALSE POSITIVE,FALSE POSITIVE,0,3.341913228,171.63943,1.213,3.813,7.25E+02,21.55,268.67,39
FALSE POSITIVE,FALSE POSITIVE,0.773,1.626630225,169.820171,1.26,2.1145,1.62E+03,32.43,1355.88,103.6
CONFIRMED,CANDIDATE,1,2.711504086,170.03417,0.023,3.0099,8.38E+02,3.12,960.79,64.5
CONFIRMED,CANDIDATE,1,7.21203748,172.81782,0.012,4.0491,9.50E+02,3.32,260.58,51.5
FALSE POSITIVE,FALSE POSITIVE,,14.1798187,171.50237,0.1601,2.505,4.60E+02,1.88,60.35,11.2
CONFIRMED,CANDIDATE,1,8.47237911,174.16212,0.022,2.7245,1.12E+03,2.59,75.44,47.6
CONFIRMED,CANDIDATE,0.989,60.4189369,181.16367,0.094,5.039,9.31E+02,2.36,5.49,20.1
CONFIRMED,CANDIDATE,1,12.61190435,180.892284,0.55,5.1497,6.11E+03,7.4,76.15,277.2
FALSE POSITIVE,FALSE POSITIVE,0,1.433769925,170.403536,1.268,1.8868,1.98E+03,46.58,3209.29,112.6
FALSE POSITIVE,FALSE POSITIVE,0,10.31872301,173.31543,1.215,3.836,8.72E+02,28.59,139.26,38.2
CONFIRMED,CANDIDATE,1,2.539183147,169.67494,0.238,2.4282,3.82E+02,2.06,743.09,38.9
CONFIRMED,CANDIDATE,1,6.770300385,170.57662,0.838,2.0844,1.30E+03,2.77,102.87,50.8
FALSE POSITIVE,FALSE POSITIVE,0,0.444291966,169.865406,1.258,2.0792,1.10E+04,27.51,2706.26,299.7
CANDIDATE,CANDIDATE,1,10.181584,177.141891,0.92,3.5089,5.74E+03,7.73,102.91,183.6
CONFIRMED,CANDIDATE,1,20.06036336,147.46554,0.556,3.3203,1.49E+03,1.96,4,35.2
CONFIRMED,CANDIDATE,1,46.1842039,165.23729,0.013,4.758,1.39E+03,1.83,1.32,26
CONFIRMED,CANDIDATE,0.952,23.9800854,147.537,0.95,5.351,1.04E+02,1.31,41.94,17.1
CONFIRMED,CANDIDATE,0.994,7.82502168,136.54995,0.708,2.186,5.21E+02,1.2,14.05,15.9
CONFIRMED,CANDIDATE,1,3.895936525,170.527552,0.524,2.3111,8.54E+03,7.34,241.62,370.8
CONFIRMED,CANDIDATE,0.999,22.36646466,175.45862,0.4,5.228,9.87E+02,2.32,19.45,32.1
CONFIRMED,CANDIDATE,1,1.625522174,170.8266564,0.076,2.38963,7.97E+03,9.73,1467.41,799.7
CANDIDATE,CANDIDATE,1,19.62034692,181.881819,0.458,2.0038,2.17E+04,13.6,40.39,340.5
FALSE POSITIVE,FALSE POSITIVE,0,7.544039,171.7982,1.175,6.222,3.23E+02,17.47,116.46,14.2
CANDIDATE,CANDIDATE,1,9.02930689,177.20422,0.024,3.1449,1.02E+03,2.57,77.75,53.9
FALSE POSITIVE,FALSE POSITIVE,0.053,10.32803571,174.581054,0.281,7.7915,1.69E+04,13.28,119.31,636.8
CONFIRMED,CANDIDATE,1,143.2063047,154.23552,0.379,8.9302,1.06E+04,8.9,2.14,138.8
CONFIRMED,CANDIDATE,0.95,6.164876,135.63916,0.646,3.262,5.58E+01,0.79,256.35,14.4
CONFIRMED,CANDIDATE,0.745,60.32494216,243.892578,0.224,6.6188,2.03E+04,12.19,6.77,347.2
CONFIRMED,CANDIDATE,,29.1598615,150.69922,0.3619,4.803,4.88E+02,1.91,17.85,11.6
FALSE POSITIVE,FALSE POSITIVE,0,1.540397253,170.50479,1.225,2.1541,8.16E+02,25.69,1105.68,38.8
FALSE POSITIVE,FALSE POSITIVE,0,2.99025443,171.9834,0.014,5.414,5.89E+02,1.7,168.45,48.5
CONFIRMED,CANDIDATE,1,1.594745374,170.6483505,0.514,1.9604,1.50E+04,11.3,1329.42,1009.3
CANDIDATE,CANDIDATE,1,4.783002698,170.508434,0.003,2.335,1.01E+03,2.5,145.48,70.6
CONFIRMED,CANDIDATE,1,20.50588921,181.43428,0.26,4.0595,2.11E+03,3.41,17.06,78.5
